"Tweet Id^Tweet text^Company^timestamp^*^*^Text Blob^*^Vader^*^*^*^Clips pattern"
"*^*^*^GMT^EST^IST^polarity^subjectivity^neg^neu^pos^compound^polarity^subjectivity"
"1076997389779640000^cymulate and symantec join hands for shared research on email-based attacks security^symantec^2018-12-24 00:26:02^2018-12-23 13:56:02^2018-12-24 00:26:02^0.0^0.0^0.162^0.447^0.391^0.4767^0.0^0.0"
"1077052808027880000^symantec finland: norton security % off + online back up symantec finland^symantec^2018-12-24 04:06:14^2018-12-23 17:36:14^2018-12-24 04:06:14^0.0^0.0^0.0^0.789^0.211^0.34^0.0^0.0"
"1077131636985210000^failure to replace symantec certificates leads to website outages may result in reputational damage thats why'^symantec^2018-12-24 09:19:29^2018-12-23 22:49:29^2018-12-24 09:19:29^-0.317^0.3^0.317^0.683^0.0^-0.7579^-0.317^0.3"
"1077141877068100000^data in transit will be one of main objectives of hackers next year according symantec infographic^symantec^2018-12-24 10:00:10^2018-12-23 23:30:10^2018-12-24 10:00:10^0.083^0.167^0.0^1.0^0.0^0.0^0.083^0.167"
"1077142254215520000^rt : data in transit will be one of main objectives of hackers next year according symantec infographic infosec^symantec^2018-12-24 10:01:40^2018-12-23 23:31:40^2018-12-24 10:01:40^0.083^0.167^0.0^1.0^0.0^0.0^0.083^0.167"
"1077230533581590000^top top cyber security predictions for symantec trendmicro mcafee eset^symantec^2018-12-24 15:52:27^2018-12-24 05:22:27^2018-12-24 15:52:27^0.5^0.5^0.0^0.538^0.462^0.6124^0.5^0.5"
"1078123880924010000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 03:02:18^2018-12-26 16:32:18^2018-12-27 03:02:18^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078124183073230000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 03:03:30^2018-12-26 16:33:30^2018-12-27 03:03:30^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078128534495940000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 03:20:47^2018-12-26 16:50:47^2018-12-27 03:20:47^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078128555052150000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 03:20:52^2018-12-26 16:50:52^2018-12-27 03:20:52^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078129045882170000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 03:22:49^2018-12-26 16:52:49^2018-12-27 03:22:49^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078130066830310000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 03:26:53^2018-12-26 16:56:53^2018-12-27 03:26:53^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078135161441710000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 03:47:07^2018-12-26 17:17:07^2018-12-27 03:47:07^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078135815983840000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 03:49:43^2018-12-26 17:19:43^2018-12-27 03:49:43^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078137027537920000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 03:54:32^2018-12-26 17:24:32^2018-12-27 03:54:32^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078140880144470000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 04:09:51^2018-12-26 17:39:51^2018-12-27 04:09:51^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078146339232330000^symantec nortansecuritydeluxe award-winning android security protect your pcs macs smartphones and tablets^symantec^2018-12-27 04:31:32^2018-12-26 18:01:32^2018-12-27 04:31:32^0.0^0.0^0.0^0.667^0.333^0.6124^0.0^0.0"
"1078148612696220000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 04:40:34^2018-12-26 18:10:34^2018-12-27 04:40:34^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078150855055100000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 04:49:29^2018-12-26 18:19:29^2018-12-27 04:49:29^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078153740526500000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 05:00:57^2018-12-26 18:30:57^2018-12-27 05:00:57^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078155178170290000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 05:06:40^2018-12-26 18:36:40^2018-12-27 05:06:40^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078156712245260000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 05:12:46^2018-12-26 18:42:46^2018-12-27 05:12:46^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078157299024350000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 05:15:05^2018-12-26 18:45:05^2018-12-27 05:15:05^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078159253167250000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 05:22:51^2018-12-26 18:52:51^2018-12-27 05:22:51^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078163661250790000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 05:40:22^2018-12-26 19:10:22^2018-12-27 05:40:22^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078164338546950000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 05:43:04^2018-12-26 19:13:04^2018-12-27 05:43:04^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078167296328190000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 05:54:49^2018-12-26 19:24:49^2018-12-27 05:54:49^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078169651719230000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 06:04:11^2018-12-26 19:34:11^2018-12-27 06:04:11^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078170687788010000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 06:08:18^2018-12-26 19:38:18^2018-12-27 06:08:18^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078172289731050000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 06:14:40^2018-12-26 19:44:40^2018-12-27 06:14:40^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078172725779330000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 06:16:23^2018-12-26 19:46:23^2018-12-27 06:16:23^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078172871795490000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 06:16:58^2018-12-26 19:46:58^2018-12-27 06:16:58^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078175364168310000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 06:26:53^2018-12-26 19:56:53^2018-12-27 06:26:53^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078176323091290000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 06:30:41^2018-12-26 20:00:41^2018-12-27 06:30:41^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078176328833200000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 06:30:42^2018-12-26 20:00:42^2018-12-27 06:30:42^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078177309285330000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 06:34:36^2018-12-26 20:04:36^2018-12-27 06:34:36^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078182456342260000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 06:55:03^2018-12-26 20:25:03^2018-12-27 06:55:03^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078184653251580000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 07:03:47^2018-12-26 20:33:47^2018-12-27 07:03:47^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078189999143680000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 07:25:02^2018-12-26 20:55:02^2018-12-27 07:25:02^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078195298185470000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 07:46:05^2018-12-26 21:16:05^2018-12-27 07:46:05^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078196593684280000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 07:51:14^2018-12-26 21:21:14^2018-12-27 07:51:14^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078197792282150000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 07:56:00^2018-12-26 21:26:00^2018-12-27 07:56:00^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078199122719580000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 08:01:17^2018-12-26 21:31:17^2018-12-27 08:01:17^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078199318170030000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 08:02:04^2018-12-26 21:32:04^2018-12-27 08:02:04^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078203551619390000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 08:18:53^2018-12-26 21:48:53^2018-12-27 08:18:53^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078206692926650000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 08:31:22^2018-12-26 22:01:22^2018-12-27 08:31:22^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078207637446100000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 08:35:07^2018-12-26 22:05:07^2018-12-27 08:35:07^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078210819647620000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 08:47:46^2018-12-26 22:17:46^2018-12-27 08:47:46^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078214452925870000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 09:02:12^2018-12-26 22:32:12^2018-12-27 09:02:12^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078215518048270000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 09:06:26^2018-12-26 22:36:26^2018-12-27 09:06:26^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078219335036890000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 09:21:36^2018-12-26 22:51:36^2018-12-27 09:21:36^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078220718112940000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 09:27:06^2018-12-26 22:57:06^2018-12-27 09:27:06^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078223566414500000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 09:38:25^2018-12-26 23:08:25^2018-12-27 09:38:25^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078224644027670000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 09:42:42^2018-12-26 23:12:42^2018-12-27 09:42:42^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078225826221640000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 09:47:24^2018-12-26 23:17:24^2018-12-27 09:47:24^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078226986844200000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 09:52:00^2018-12-26 23:22:00^2018-12-27 09:52:00^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078229500532540000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 10:02:00^2018-12-26 23:32:00^2018-12-27 10:02:00^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078230565277650000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 10:06:13^2018-12-26 23:36:13^2018-12-27 10:06:13^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078234575715750000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 10:22:10^2018-12-26 23:52:10^2018-12-27 10:22:10^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078237407407940000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 10:33:25^2018-12-27 00:03:25^2018-12-27 10:33:25^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078238817461640000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 10:39:01^2018-12-27 00:09:01^2018-12-27 10:39:01^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078243475479550000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 10:57:32^2018-12-27 00:27:32^2018-12-27 10:57:32^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078246723498180000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 11:10:26^2018-12-27 00:40:26^2018-12-27 11:10:26^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078247994540150000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 11:15:29^2018-12-27 00:45:29^2018-12-27 11:15:29^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078250147140810000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 11:24:02^2018-12-27 00:54:02^2018-12-27 11:24:02^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078254720043620000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 11:42:12^2018-12-27 01:12:12^2018-12-27 11:42:12^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078255884361440000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 11:46:50^2018-12-27 01:16:50^2018-12-27 11:46:50^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078259806560020000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 12:02:25^2018-12-27 01:32:25^2018-12-27 12:02:25^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078262570056850000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 12:13:24^2018-12-27 01:43:24^2018-12-27 12:13:24^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078263375308700000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 12:16:36^2018-12-27 01:46:36^2018-12-27 12:16:36^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078267581948140000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 12:33:19^2018-12-27 02:03:19^2018-12-27 12:33:19^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078275045259120000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 13:02:58^2018-12-27 02:32:58^2018-12-27 13:02:58^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078275715332790000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 13:05:38^2018-12-27 02:35:38^2018-12-27 13:05:38^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078279182025710000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 13:19:25^2018-12-27 02:49:25^2018-12-27 13:19:25^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078288184235180000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 13:55:11^2018-12-27 03:25:11^2018-12-27 13:55:11^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078289927413150000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 14:02:07^2018-12-27 03:32:07^2018-12-27 14:02:07^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078298685543460000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 14:36:55^2018-12-27 04:06:55^2018-12-27 14:36:55^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078306787231710000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 15:09:06^2018-12-27 04:39:06^2018-12-27 15:09:06^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078307983673580000^the most interesting and important hacks of symantec trendmicro mcafee eset^symantec^2018-12-27 15:13:51^2018-12-27 04:43:51^2018-12-27 15:13:51^0.467^0.667^0.0^0.64^0.36^0.6195^0.467^0.667"
"1078309427692720000^worst data breaches of symantec trendmicro mcafee eset exabeam ueba^symantec^2018-12-27 15:19:36^2018-12-27 04:49:36^2018-12-27 15:19:36^-1.0^1.0^0.313^0.687^0.0^-0.6249^-1.0^1.0"
"1078309782753290000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 15:21:00^2018-12-27 04:51:00^2018-12-27 15:21:00^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078309947207600000^rt : worst data breaches of symantec trendmicro mcafee eset exabeam ueba splunk kasp^symantec^2018-12-27 15:21:40^2018-12-27 04:51:40^2018-12-27 15:21:40^-1.0^1.0^0.255^0.745^0.0^-0.6249^-1.0^1.0"
"1078311790948370000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 15:28:59^2018-12-27 04:58:59^2018-12-27 15:28:59^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078311837341500000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 15:29:10^2018-12-27 04:59:10^2018-12-27 15:29:10^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078313218177750000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 15:34:39^2018-12-27 05:04:39^2018-12-27 15:34:39^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078313936280260000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 15:37:31^2018-12-27 05:07:31^2018-12-27 15:37:31^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078314507854900000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 15:39:47^2018-12-27 05:09:47^2018-12-27 15:39:47^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078320012291700000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 16:01:39^2018-12-27 05:31:39^2018-12-27 16:01:39^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078320250528190000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 16:02:36^2018-12-27 05:32:36^2018-12-27 16:02:36^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078321339675610000^check out symantec winfax pro version document management and windows symantec via^symantec^2018-12-27 16:06:56^2018-12-27 05:36:56^2018-12-27 16:06:56^0.0^0.0^0.0^1.0^0.0^0.0^0.0^0.0"
"1078323164462130000^rt : worst data breaches of symantec trendmicro mcafee eset exabeam ueba splunk kasp^symantec^2018-12-27 16:14:11^2018-12-27 05:44:11^2018-12-27 16:14:11^-1.0^1.0^0.255^0.745^0.0^-0.6249^-1.0^1.0"
"1078323520667570000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 16:15:36^2018-12-27 05:45:36^2018-12-27 16:15:36^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078323681833680000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 16:16:14^2018-12-27 05:46:14^2018-12-27 16:16:14^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078333612251050000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 16:55:42^2018-12-27 06:25:42^2018-12-27 16:55:42^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078334843396720000^rt : the most interesting and important hacks of symantec trendmicro mcafee eset exabeam ueb^symantec^2018-12-27 17:00:35^2018-12-27 06:30:35^2018-12-27 17:00:35^0.467^0.667^0.0^0.704^0.296^0.6195^0.467^0.667"
"1078335113253960000^rt : the most interesting and important hacks of symantec trendmicro mcafee eset exabeam ueb^symantec^2018-12-27 17:01:40^2018-12-27 06:31:40^2018-12-27 17:01:40^0.467^0.667^0.0^0.704^0.296^0.6195^0.467^0.667"
"1078345148415830000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 17:41:32^2018-12-27 07:11:32^2018-12-27 17:41:32^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078354332528110000^rt : the most interesting and important hacks of symantec trendmicro mcafee eset exabeam ueb^symantec^2018-12-27 18:18:02^2018-12-27 07:48:02^2018-12-27 18:18:02^0.467^0.667^0.0^0.704^0.296^0.6195^0.467^0.667"
"1078360300041230000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 18:41:45^2018-12-27 08:11:45^2018-12-27 18:41:45^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078365184593400000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 19:01:09^2018-12-27 08:31:09^2018-12-27 19:01:09^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078377902239040000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 19:51:41^2018-12-27 09:21:41^2018-12-27 19:51:41^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
